;ID;Start time;Completion time;REF;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27
53;8;6/23/24 15:32:58;6/23/24 16:18:51;anonymous;Sonification 1;Left;Sonification 2;Sonification 1;Spectrum 3;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 1;Spectrum 1;Spectrum 3;Spectrum 2;"Right position;Far from the center;Retired galaxy;";"Close to the center;Left position;Star forming region;";XXX;Doubtedly useful;Acceptable;Some experienced (hobby/enthusiast);Very basic experience;popular songs;21-30;No;中国;中文;Yes, I used headphones;"Stereo;";
54;9;6/24/24 16:27:17;6/24/24 16:46:13;anonymous;Sonification 2;Left;Sonification 4;Sonification 2;Spectrum 2;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 1;Spectrum 2;Spectrum 1;Spectrum 1;"Close to the center;Retired galaxy;Left position;";"Far from the center;Retired galaxy;Right position;";XXX;Useful;Good;Very experienced (professional);Very basic experience;rock;21-30;No;China;Chinese;No, I didn't;"I don't know;";
55;10;6/25/24 9:48:12;6/25/24 10:04:54;anonymous;Sonification 1;Left;Sonification 2;Sonification 3;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;"Retired galaxy;Close to the center;Right position;";"Far from the center;Star forming region;Right position;";Bad;Doubtedly useful;Good;Very experienced (professional);Very basic experience;Chinese Ancient Music;21-30;No;China;Chinese;Yes, I used headphones;"I don't know;";
56;11;6/26/24 6:39:03;6/26/24 7:09:03;anonymous;Sonification 2;Left;Sonification 2;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 3;Spectrum 2;Spectrum 1;"Right position;Far from the center;Retired galaxy;";"Left position;Star forming region;";XXX;Doubtedly useful;Bad;Some experienced (hobby/enthusiast);Some experienced (hobby/enthusiast);Alternative rock & Japanese pop;31-40;No;Japan;Chinese;Yes, I used headphones;"I don't know;";I am not sure the use of this tool.  It is not so direct for public to understand the meaning of galaxy spectrum by using sound.
57;12;7/2/24 10:56:21;7/2/24 11:13:48;anonymous;Sonification 1;Left;Sonification 2;Sonification 3;Spectrum 2;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;"Far from the center;Right position;Retired galaxy;";"Left position;Star forming region;Close to the center;";Very good;Very useful;Good;Very experienced (professional);Some experienced (hobby/enthusiast);Electronic music / alternative rock;21-30;No;Spain;Spanish;Yes, I used headphones;"Stereo;";
58;13;7/2/24 16:31:37;7/2/24 16:55:08;anonymous;Sonification 1;Left;Sonification 2;Sonification 1;Spectrum 2;Spectrum 3;Spectrum 1;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;Spectrum 2;"Right position;Star forming region;Close to the center;";"Far from the center;Left position;Retired galaxy;";Acceptable;Useful;Acceptable;Very experienced (professional);Not experienced;Pop;41-50;No;Spain;Persian;Yes, I used headphones;"Stereo;";
59;14;7/14/24 15:25:48;7/14/24 15:51:10;anonymous;Sonification 2;Left;Sonification 3;Sonification 3;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 2;Spectrum 1;Spectrum 3;Spectrum 1;"Right position;Star forming region;Close to the center;";"Left position;Far from the center;Retired galaxy;";Acceptable;Doubtedly useful;Acceptable;No experienced;Experienced (amateur);edm, classical music, Airs of the States, pop;21-30;No;China;Chinese;Yes, I used headphones;"Circum-aural;";difficult
60;15;7/17/24 2:20:03;7/17/24 3:10:00;anonymous;Sonification 2;Left;Sonification 3;Sonification 1;Spectrum 1;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 2;"Far from the center;Retired galaxy;Right position;";"Star forming region;Left position;Close to the center;";Good;Useful;Good;No experienced;Very experienced (professional);European art music ;21-30;No;China;Chinese;Yes, I used headphones;"I don't know;";Fantastic work.
61;16;7/18/24 16:24:37;7/18/24 16:39:13;anonymous;Sonification 1;Left;Sonification 3;Sonification 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;Spectrum 2;"Right position;Retired galaxy;";"Left position;Close to the center;";Very good;Very useful;Good;Very experienced (professional);Very experienced (professional);Electronic Music, Jazz, Classical, Folk, Rock ;41-50;No;Malta;English;Yes, I used headphones;"Stereo;";
62;17;7/21/24 9:56:47;7/21/24 10:55:44;anonymous;Sonification 2;Left;Sonification 3;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 2;"Right position;Retired galaxy;Far from the center;";"Star forming region;Left position;Close to the center;";Good;Doubtedly useful;Acceptable;Some experienced (hobby/enthusiast);Experienced (amateur);Classical, jazz, rock;21-30;No;China;Mandarin;Yes, I used headphones;"Stereo;";
63;18;7/25/24 1:49:37;7/25/24 3:03:34;anonymous;Sonification 1;Left;Sonification 2;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 1;"Close to the center;Right position;Retired galaxy;";"Left position;Close to the center;Retired galaxy;";XXX;Useful;Acceptable;No experienced;Very experienced (professional);spatial electroacoustic music, music concrete, generative ;Prefer not to say;No;Australia;Elnglish;Yes, I used headphones;"Circum-aural;";discriminating between constant tone and reverberation effect is not easy. Moving between locations Up and down is easily confused - what change is occurring within the sound spectrum and what information should a listener be cognisant of? Provide a better description for how a listener should imagine their location and orientation with an acoustic field. The suggestion of a cathedral imparted an expectation of a three dimensional acoustic space with the listener located within the centre. Does up and down express a relation to height - above/below, or, front/back?
64;19;7/29/24 10:32:28;7/29/24 10:50:09;anonymous;Sonification 2;Left;Sonification 2;Sonification 3;Spectrum 2;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 1;"Right position;Far from the center;Star forming region;";"Close to the center;Left position;Star forming region;";XXX;Useful;Nice sounding;No experienced;Some experienced (hobby/enthusiast);Pop music;21-30;No;Spain;Catalan;Yes, I used headphones;"Stereo;";
65;3;4/15/24 9:17:06;4/15/24 9:51:59;anonymous;Sonification 1;Left;Sonification 3;Sonification 3;Spectrum 2;Spectrum 1;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;"Lejos del centro;Posición derecha;Galaxia vieja;";"Lejos del centro;Posición izquierda;Región de formación estelar;";XXX;Useful;Good;Very experienced (professional);Very basic experience;Clasic, Rock;41-50;Yes;Spain;Spanish;Yes, I used headphones;;No queda claro si lo que distingue una regi´òn de formación estelar y una población vieja es el tono o el timbre. Si son los dos, como parece, usaría sonidos que se distinguieran mejor, jugando entre octavs distintas
66;1;5/13/24 11:17:19;5/13/24 11:33:10;anonymous;Sonification 2;Left;Sonification 2;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 1;"Retired galaxy;Right position;Far from the center;";"Star forming region;Left position;Far from the center;";Good;Useful;Acceptable;Very experienced (professional);Experienced (amateur);Electronic;31-40;No;United Kingdom ;English;Yes, I used headphones;"Stereo;";
67;2;7/23/24 15:06:15;7/23/24 15:31:47;anonymous;Sonification 2;Left;Sonification 2;Sonification 2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 1;Spectrum 2;"Retired galaxy;Right position;Far from the center;";"Star forming region;Left position;Close to the center;";XXX;Useful;Good;Very experienced (professional);Experienced (amateur);Alternative rock;41-50;Yes;United Kingdom;English;Yes, I used headphones;"Stereo;";
